Width,Height,Die #,New Die ID Format,# Per Page,Description,Shape,Corner,# Per Stroke,Strokes Per Page,Image,Prodcut Type,Cutter
5.75,6.91,P0931,P0931,4,Helmet,,NA,2,2,#N/A,Magnets,Preco
3.5,5.75,P0932,P0932,9,Rectangle,,Square,3,3,#N/A,Magnets,Preco
2.68,4.93,P0933,P0933,9,Custom (School Bus Shape),,NA,3,3,#N/A,Magnets,Preco
7,2.5,P0934,P0934,8,Rectangle,,Round,4,2,https://media.magnetguys.com/diecut_proof/D__P0934__7-x-2.5_P0934_Round-corner.jpg,Magnets,Preco
5.77,5.87,P0935,P0935,4,Shield Shape,,NA,2,2,#N/A,Magnets,Preco
3,3,P0936,P0936,15,Two Peice Military Custom,,NA,3,5,#N/A,Magnets,Preco
3.9,2.11,P0937,P0937,18,Custom (Chemical Chain),,NA,3,6,https://media.magnetguys.com/diecut_proof/D__P0937__3.9-x-2.11_P0937_CMD18080865_Chemical-Chain.jpg,Magnets,Preco
7,7,P0938,P0938,2,Square,,Square,1,2,#N/A,Magnets,Preco
5.708,4.741,P0939,P0939,6,Custom,,NA,2,3,#N/A,Magnets,Preco
4.5,2.25,P0940,P0940,12,Rectangle,,Square,4,3,https://media.magnetguys.com/diecut_proof/D__P0940__4.5-x-2.25_P0940_Square-corner.jpg,Magnets,Preco
2,7.5,P0941,P0941,10,Rectangle,,Square,5,2,https://media.magnetguys.com/diecut_proof/D__P0941__7.5-x-2_P0941_Square-corner.jpg,Magnets,Preco
6,4,P0942,P0942,6,Air Fighter Jet,,NA,3,2,#N/A,Magnets,Preco
3.5,9.25,P0943,P0943,4,Rectangle,,Square,2,2,#N/A,Magnets,Preco
3.7303,2.1317,P0944,P0944,16,Custom,,NA,4,4,#N/A,Magnets,Preco
3,3.13,P0945,P0945,15,Star,,NA,3,5,https://media.magnetguys.com/diecut_proof/D__P0945__3-x-3.13_P0945_CM42222_Star-Shape.jpg,Magnets,Preco
3.75,8,P0946,P0946,4,Rectangle,,Square,2,2,#N/A,Magnets,Preco
3.2568,2.443,P0947,P0947,21,Custom Bike,,NA,3,7,#N/A,Magnets,Preco
8.5,8.5,P0948,P0948,2,Circle,Circle,N/A,1,2,#N/A,Magnets,Preco
6.3,4.86,P0949,P0949,4,Custom (Dog Tags),,N/A,2,2,#N/A,Magnets,Preco
3,3.5,P0950,P0950,12,Custom Georgia shape,,NA,6,2,#N/A,Magnets,Preco
5.4999,5.0248,P0951,P0951,6,Diamond Shape,,NA,2,3,#N/A,Magnets,Preco
3.63,6.88,P0952,P0952,6,Custom Shape,,NA,3,2,#N/A,Magnets,Preco
2.75,4.25,P0953,P0953,12,Rectangle,,Round,6,2,https://media.magnetguys.com/diecut_proof/D__P0953__4.25-x-2.75_P0953_Round-corner.jpg,Magnets,Preco
8,10,P0954,P0954,2,Rectangle,,Round,1,2,#N/A,Magnets,Preco
3.75,5.75,P0955,P0955,6,Oval,Oval,NA,3,2,#N/A,Magnets,Preco
5.932,4.15,P0956,P0956,6,Custom Shape,,NA,3,2,#N/A,Magnets,Preco
4.75,2.25,P0957,P0957,12,Van Shaped,,NA,4,3,#N/A,Magnets,Preco
4.587,1.8977,P0958,P0958,15,Custom Shape,,NA,5,3,#N/A,Magnets,Preco
8.6982,4.9552,P0959,P0959,4,Custom Shape,,NA,2,2,#N/A,Magnets,Preco
3.5,2.625,P0960,P0960,18,Custom Book Shape,,NA,3,6,#N/A,Magnets,Preco
6.9828,9.0039,P0961,P0961,2,Custom Shape,,NA,1,2,#N/A,Magnets,Preco
4.324,1.8027,P0962,P0962,20,Police car,,NA,5,4,#N/A,Magnets,Preco
4.588,1.5935,P0963,P0963,18,Fire truck,,NA,6,3,#N/A,Magnets,Preco
2.5,4.37,P0964,P0964,16,Fish,,NA,4,4,#N/A,Magnets,Preco
4.9,5.71,P0965,P0965,6,Custom - Onesie,,NA,2,3,#N/A,Magnets,Preco
2.6875,2.25,P0966,P0966,24,Awareness Ribbon,Shaped,NA,4,6,https://media.magnetguys.com/diecut_proof/D__P0966__2.6875-x-2.25_P0966_CM212234_Ribbon-Shape.jpg,Magnets,Preco
4,6.5,P0967,P0967,6,Rectangle,,Square,3,2,#N/A,Magnets,Preco
2.5,3.75,P0968,P0968,16,Koala Shape,,NA,4,4,#N/A,Magnets,Preco
1.75,1.75,P0969,P0969,45,Circle,Circle,NA,5,9,#N/A,Magnets,Preco
3.3974,2.1383,P0970,P0970,20,Montana Shape,,NA,4,5,#N/A,Magnets,Preco
3.49,2.44,P0971,P0971,18,Washington Shape,Shaped,NA,9,2,https://media.magnetguys.com/diecut_proof/D__P0971__3.49-x-2.44_P0971_CM21216_Washington-Shape.jpg,Magnets,Preco
6.3993,4.3258,P0972,P0972,4,Custom Van,,NA,2,2,#N/A,Magnets,Preco
8.03,2.12,P0973,P0973,8,Custom,,NA,4,2,#N/A,Magnets,Preco
5.2453,5.2289,P0974,P0974,6,Custom (Election Box),,NA,2,3,#N/A,Magnets,Preco
3.25,2,P0975,P0975,24,Bear,,NA,12,2,#N/A,Magnets,Preco
2.75,5,P0976,P0976,9,Rectangle,,Round,3,3,https://media.magnetguys.com/diecut_proof/D__P0976__5-x-2.75_P0976_Round-corner.jpg,Magnets,Preco
5,6,P0977,P0977,6,Kisscut - Super Bowl,,NA,2,3,#N/A,Magnets,Preco
2.2,5.5,P0978,P0978,12,Rectangle,,Square,4,3,#N/A,Magnets,Preco
5.8211,7.661,P0979,P0979,4,Custom (Walnut Hill),,NA,2,2,#N/A,Magnets,Preco
4.8935,5.6025,P0980,P0980,6,Sheild,,NA,2,3,#N/A,Magnets,Preco
5.5682,6.1059,P0981,P0981,4,Custom,,NA,2,2,#N/A,Magnets,Preco
7.0412,5.4124,P0982,P0982,4,Football Helmet,,NA,2,2,#N/A,Magnets,Preco
3,4,P0983,P0983,16,Custom,,NA,4,4,#N/A,Magnets,Preco
1.5,4.65,P0984,P0984-P0999,18,Rectangle (See also P0999),,Square,6,3,#N/A,Magnets,Preco
4.1971,7.9489,P0985,P0985,4,Bottle Shape,,NA,2,2,#N/A,Magnets,Preco
2.25,5.75,P0986,P0986,12,Rectangle,,Round,4,3,https://media.magnetguys.com/diecut_proof/D__P0986__5.75-x-2.25_P0986_Round-corner.jpg,Magnets,Preco
3.75,11,P0987,P0987,4,Rectangle with perforation,,Square,2,2,#N/A,Magnets,Preco
4,7.5,P0988,P0988,-,The Magnet Guys Logo,,NA,2,,#N/A,Magnets,Preco
3.75,5,P0989,P0989,8,Rectangle,,Round,4,2,#N/A,Magnets,Preco
4,4,P0990,P0990,-,circle,Circle,NA,3,,#N/A,Magnets,Preco
4,3.6,P0991,P0991,12,Custom - Triangle,,NA,6,2,#N/A,Magnets,Preco
2,5,P0992,P0992,15,Guitar Shape,,NA,5,3,https://media.magnetguys.com/diecut_proof/D__P0992__5-x-2_P0992_CMD18091415_Guitar-Shape.jpg,Magnets,Preco
5,7,P0993,P0993,4,Kisscut,,NA,2,2,#N/A,Magnets,Preco
2.7,5.6,P0994,P0994,9,Rectangle,,Square,3,3,https://media.magnetguys.com/diecut_proof/D__P0994__2.7-x-5.6_P0994_Square-corner.jpg,Magnets,Preco
5.18,5.19,P0995,P0995,6,Shield Shape,,NA,2,3,#N/A,Magnets,Preco
2.2512,2.6483,P0996,P0996,24,Shield Shape,,NA,4,6,https://media.magnetguys.com/diecut_proof/D__P0996__2.6483-x-2.2512_P0996_CMD18091744_Shield-Shape.jpg,Magnets,Preco
1.4877,5.1552,P0997,P0997,18,Candle Shape,,NA,6,3,#N/A,Magnets,Preco
4,4,P0998,P0998,8,Octagon Shape,,NA,2,4,#N/A,Magnets,Preco
1.5,4.65,P0999,P0984-P0999,18,Rectangle (See also P0984),,Square,6,3,#N/A,Magnets,Preco
2.2,5.25,P1000,P1000,-,Band-Aid Shape,,NA,3,,#N/A,Magnets,Preco
3.5,2.62,P1001,P1001,20,Foot Shape,Shaped,NA,10,2,https://media.magnetguys.com/diecut_proof/D__P1001__3.5-x-2.62_P1001_Health-Footprint-Shape.jpg,Magnets,Preco
2.19,2.18,P1002,P1002,28,Shield Shape,,NA,7,4,https://media.magnetguys.com/diecut_proof/D__P1002__2.19-x-2.18_P1002_CMD18091405_Shield-Shape.jpg,Magnets,Preco
2.98,3,P1003,P1003,15,Custom,,NA,3,5,#N/A,Magnets,Preco
4.25,8.25,P1004,P1004,4,Rectangle,,Square,2,2,#N/A,Magnets,Preco
1.25,3.25,P1005,P1005,35,Rectangle,,Square,7,5,https://media.magnetguys.com/diecut_proof/D__P1005__1.25-x-3.25_P1005_square-corner.jpg,Magnets,Preco
4,6,P1006,P1006,6,Puzzle Piece Shaped,,NA,3,2,#N/A,Magnets,Preco
5.75,7.13,P1007,P1007,3,Rectangle,,Square,1,3,#N/A,Magnets,Preco
7,5.25,P1008,P1008,4,Rectangle,,Square,2,2,#N/A,Magnets,Preco
3.1634,8.7187,P1009,P1009,6,Train Shape,,NA,3,2,https://media.magnetguys.com/diecut_proof/D__P1009__8.7187-x-3.1634_P1009_CMD18092024_Train-Shape.jpg,Magnets,Preco
2,1.8809,P1010,P1010,40,Custom Circle,Circle,NA,5,8,#N/A,Magnets,Preco
2.625,3,P1011,P1011,20,Crab Shape,,NA,4,5,https://media.magnetguys.com/diecut_proof/D__P1011__2.625-x-3_P1011_CMD18092435_Crab-Shape.jpg,Magnets,Preco
1.5,4,P1012,P1012,24,Rectangle,,Square,12,2,https://media.magnetguys.com/diecut_proof/D__P1012__1.5-x-4_P1012_Square-corner.jpg,Magnets,Preco
4,4.75,P1013,P1013,8,Rectangle,,Round,4,2,#N/A,Magnets,Preco
2.0501,8.5586,P1014,P1014,8,Custom,,NA,4,2,#N/A,Magnets,Preco
2.99,2.99,P1015,P1015,15,Shield Shape,,NA,3,5,https://media.magnetguys.com/diecut_proof/D__P1015__2.9882-x-2.9949_P1015_CMD18091716_Shield-Shape.jpg,Magnets,Preco
4.5,6,P1016,P1016,6,Rectangle,,Square,2,3,#N/A,Magnets,Preco
1.75,7.75,P1017,P1017,10,Rectangle,,Round,5,2,https://media.magnetguys.com/diecut_proof/D__P1017__1.75-x-7.75_P1017_Round-corner.jpg,Magnets,Preco
5.5,7,P1018,P1018,4,Rectangle,,Square,2,2,#N/A,Magnets,Preco
2.4775,3.22,P1019,P1019,20,Shield Shape,,NA,4,5,https://media.magnetguys.com/diecut_proof/D__P1019__2.4775-x-3.22_P1019_CMD18092714_Shield-Shape.jpg,Magnets,Preco
4.27,1.58,P1020,P1020,24,Automobile Car Vehicle Shape,,NA,12,2,#N/A,Magnets,Preco
2.75,3.75,P1021,P1021,12,Rectangle,,Square,6,2,https://media.magnetguys.com/diecut_proof/D__P1021__3.75-x-2.75_P1021_Square-corner.jpg,Magnets,Preco
5.0359,6.7,P1022,P1022,4,Custom,,NA,2,2,#N/A,Magnets,Preco
5.3111,6.3732,P1023,P1023,6,Custom,,NA,2,3,#N/A,Magnets,Preco
2.75,1.25,P1024,P1024,42,Rectangle,,Round,21,2,#N/A,Magnets,Preco
3.25,9,P1025,P1025,5,Rectangle,,Square,1,5,https://media.magnetguys.com/diecut_proof/D__P1025__9-x-3.25_P1025_Square-corner.jpg,Magnets,Preco
4.0507,6.7704,P1026,P1026,8,Custom,,NA,4,2,#N/A,Magnets,Preco
3.29,4.66,P1027,P1027,12,Custom,,NA,3,4,https://media.magnetguys.com/diecut_proof/D__P1027__4.66-x-3.29_P1027_PRF5_TM-Guys.jpg,Magnets,Preco
1.75,2.25,P1028,P1028,35,Rectangle,,Round,5,7,#N/A,Magnets,Preco
4,11,P1029,P1029,4,Rectangle,,Round,2,2,#N/A,Magnets,Preco
2.22,3.98,P1030,P1030,12,Custom -Dress,,NA,6,2,#N/A,Magnets,Preco
3.5,1.75,P1031,P1031,20,Rectangle,,Square,10,2,https://media.magnetguys.com/diecut_proof/D__P1031__1.75-x-3.5_P1031_Square-corner.jpg,Magnets,Preco
3.95,3.09,P1032,P1032,12,Book Shape,,NA,3,4,#N/A,Magnets,Preco
1.625,5,P1033,P1033,18,Oil Truck Shape,,NA,6,3,https://media.magnetguys.com/diecut_proof/D__P1033__5-x-1.625_P1033_CM21621_Oil-Truck-Shape.jpg,Magnets,Preco
4.48,5.33,P1034,P1034,8,Custom,,NA,4,2,#N/A,Magnets,Preco
7.375,10.5,P1035,P1035,2,Rectangle,,Square,1,2,#N/A,Magnets,Preco
2.02,4.44,P1036,P1036,15,Van Shaped,,NA,5,3,#N/A,Magnets,Preco
9,9,P1037,P1037,2,Rectangle,,Square,1,2,#N/A,Magnets,Preco
4.125,1.875,P1038,P1038,20,Custom Van - Left Facing,,NA,10,2,#N/A,Magnets,Preco
6.22,4.25,P1039,P1039,6,Shield Shape,,NA,3,2,#N/A,Magnets,Preco
10.1001,5.3924,P1040,P1040,3,Custom,,NA,1,3,#N/A,Magnets,Preco
1.7268,4.4692,P1041,P1041,24,Police Car Shape,,NA,6,4,https://media.magnetguys.com/diecut_proof/D__P1041__4.4692-x-1.7268_P1041_CMD18080961_Police-Car-Shape.jpg,Magnets,Preco
1.43,3.56,P1042,P1042,28,Truck Shape,,NA,7,4,#N/A,Magnets,Preco
6.5,6.5,P1043,P1043,4,R - Shape,,NA,2,2,#N/A,Magnets,Preco
4.63,3.98,P1044,P1044,8,Lightning Bolt,,NA,2,4,#N/A,Magnets,Preco
3,4,P1045,P0043-P1045-P0185,12,Rectangle (See also P0043 - P0185),,Square,6,2,https://media.magnetguys.com/diecut_proof/D__P0043-P1045-P0185__3-x-4_P0043-P1045-P0185_Square-corner.jpg,Magnets,Preco
4,7,P1046,P1046,6,Baseball Schedule,,NA,3,2,#N/A,Magnets,Preco
6.1068,5.5586,P1047,P1047,4,Custom,,NA,2,2,#N/A,Magnets,Preco
5.0325,5.5471,P1048,P1048,6,Custom,,NA,2,3,#N/A,Magnets,Preco
4,5.75,P1049,P1049,6,Rectangle,,Square,2,3,#N/A,Magnets,Preco
4.0105,4.2545,P1050,P1050,8,Custom,,NA,2,4,#N/A,Magnets,Preco
1.12,3.25,P1051,P1051,40,Rectangle,,Square,8,5,https://media.magnetguys.com/diecut_proof/D__P1051__1.12-x-3.25_P1051_Square-corner.jpg,Magnets,Preco
6,6,P1052,P1052,6,Tiger Custom,,NA,2,3,#N/A,Magnets,Preco
4.2162,3.2847,P1053,P1053,12,Custom -Dress,,NA,6,2,#N/A,Magnets,Preco
7.5152,5.8579,P1054,P1054,3,Custom - Apron,,NA,1,3,#N/A,Magnets,Preco
2.5,2.5,P1055,P1055,24,Cross Shape,,NA,12,2,#N/A,Magnets,Preco
4.7152,3.7546,P1056,P1056,9,Whater drop,,NA,3,3,#N/A,Magnets,Preco
5.62,9.75,P1057,P1057,3,Rectangle,,Round,1,3,#N/A,Magnets,Preco
1.87,2,P1058,P1058,40,Cat Shape,,NA,5,8,#N/A,Magnets,Preco
2.8578,3,P1059,P1059,18,Telephone,,NA,3,6,https://media.magnetguys.com/diecut_proof/D__P1059__3-x-2.8578_P1059_CMD18101030_Telephone-Shape.jpg,Magnets,Preco
1.62,3.74,P1060,P1060,24,Van Shape,,NA,6,4,#N/A,Magnets,Preco
4.5,7,P1061,P1061,4,Rectangle,,Round,2,2,#N/A,Magnets,Preco
2,3,P1062,P1062,25,Lemon Shape,,NA,5,5,#N/A,Magnets,Preco
1.69,3.75,P1063,P1063,24,Carrot Shape,,NA,8,3,#N/A,Magnets,Preco
2.75,2.75,P1064,P1064,20,Apple Shape,,NA,4,5,#N/A,Magnets,Preco
3.43,4,P1065,P1065,12,Apple Shape,,NA,3,4,#N/A,Magnets,Preco
3.48,5,P1066,P1066,10,Eagle Shape,,NA,2,5,#N/A,Magnets,Preco
2.5,2.5,P1067,P1067,24,Pumpkin Shape,,NA,4,6,#N/A,Magnets,Preco
5.67,7.82,P1068,P1068,4,Custom WP,,NA,2,2,#N/A,Magnets,Preco
2.3,5.03,P1069,P1069,15,North Carolina Shape,,NA,5,3,https://media.magnetguys.com/diecut_proof/D__P1069__5.03-x-2.30_P1069_CM217790_North-Carolina-Shape.jpg,Magnets,Preco
3.92,7.06,P1070,P1070,8,Pennant,,NA,4,2,#N/A,Magnets,Preco
5.25,8.5,P1071,P1071,4,Rectangle,,Square,2,2,#N/A,Magnets,Preco
3.5,2.5,P1072,P1072,18,Custom Tooth Shape,,NA,3,6,https://media.magnetguys.com/diecut_proof/D__P1072__2.5-x-3.5_P1072_PIM18100534_Tooth-Shape.jpg,Magnets,Preco
2,5.25,P1073,P1073,16,Rectangle,,Square,8,2,#N/A,Magnets,Preco
2.31,6.06,P1074,P1074,12,Van Shape,,NA,4,3,#N/A,Magnets,Preco
3.8898,2.1879,P1075,P1075,8,Custom,,NA,2,4,#N/A,Magnets,Preco
3.9791,4.4615,P1076,P1076,8,Custom,,NA,2,4,#N/A,Magnets,Preco
2.87,2.75,P1077,P1077,18,Bear Shape,,NA,9,2,#N/A,Magnets,Preco
4.3,6.46,P1078,P1078,6,Custom,,NA,3,2,#N/A,Magnets,Preco
3.5,11,P1079,P1079,4,Rectangle,,Square,2,2,#N/A,Magnets,Preco
4.5,4.5,P1080,P1080,8,Heart Shape,,NA,4,2,#N/A,Magnets,Preco
4.2583,4.2433,P1081,P1081,8,Custom Shield,,NA,2,4,#N/A,Magnets,Preco
2.75,4.75,P1082,P1082,9,Rectangle,,Round,3,3,#N/A,Magnets,Preco
5.75,4.1041,P1083,P1083,9,Custom Fish,,NA,3,3,#N/A,Magnets,Preco
3.5,3,P1084,P1084,12,New Mexico Shape,,NA,6,2,https://media.magnetguys.com/diecut_proof/D__P1084__3.5-x-3_P1084_CM212156_Mexico-Shape.jpg,Magnets,Preco
5.8291,4.7414,P1085,P1085,6,Custom,,NA,2,3,#N/A,Magnets,Preco
6.25,9,P1086,P1086,2,Rectangle,,Round,1,2,#N/A,Magnets,Preco
6.25,7.5,P1087,P1087,2,Rectangle,,Round,1,2,#N/A,Magnets,Preco
3,5,P1088,P1088,10,Logo Shape,,NA,2,5,#N/A,Magnets,Preco
11.25,11.25,P1089,P1089,1,Rectangle,,Round,1,1,#N/A,Magnets,Preco
4,4,P1090,P1090,8,Dumbell Shape,,NA,2,4,#N/A,Magnets,Preco
1.6059,4.6967,P1091,P1091,18,Custom Car,,NA,6,3,#N/A,Magnets,Preco
2.12,2.12,P1092,P1092,28,Circle,Circle,NA,4,7,#N/A,Magnets,Preco
5.5,4.25,P1093,P1093,8,Custom Butterfly,,NA,2,4,#N/A,Magnets,Preco
4.9469,4.7354,P1094,P1094,6,Custom Ribbon,,NA,2,3,#N/A,Magnets,Preco
3.9197,4.2551,P1095,P1095,8,Custom Dog,,NA,2,4,#N/A,Magnets,Preco
6.49,5.2,P1096,P1096,4,Picture Frame,Picture Frame,NA,2,2,#N/A,Magnets,Preco
4.99,5.45,P1097,P1097,6,Custom Logo,,NA,2,3,#N/A,Magnets,Preco
2.62,2.87,P1098,P1098,24,Diamond,,NA,12,2,#N/A,Magnets,Preco
2.62,2.75,P1099,P1099,18,Chinese Food Box,,NA,9,2,#N/A,Magnets,Preco
4,4,P1100,P1100,6,Custom Logo,,NA,2,3,#N/A,Magnets,Preco
2.5,2.5,P1101,P1101,24,Sun Shape,,NA,12,2,#N/A,Magnets,Preco
2.723,3.55,P1102,P1102,18,Custom,,NA,3,6,https://media.magnetguys.com/diecut_proof/D__P1102__3.55-x-2.723_P1102_CMD18102633_Custom-Shape.jpg,Magnets,Preco
10,2.5,P1103,P1103,6,Rectangle,,Round,3,2,https://media.magnetguys.com/diecut_proof/D__P1103__10-x-2.5_P1103_Round-corner.jpg,Magnets,Preco
2.62,3.409,P1104,P1104,18,Custom,,NA,3,6,#N/A,Magnets,Preco
6.3655,8.778,P1105,P1105,4,Custom WP,,NA,2,2,#N/A,Magnets,Preco
3.75,4.25,P1106,P1106,12,Rectangle,,Round,6,2,#N/A,Magnets,Preco
7.523,4.472,P1107,P1107,4,Christmas Santa,,NA,2,2,#N/A,Magnets,Preco
7.5,5.5,P1108,P1108,4,Kiss cut - Belly,,NA,2,2,#N/A,Magnets,Preco
3.5,4.5,P1109,P1109,9,Picture Frame with Tooth punch out,Picture Frame,Round,3,3,#N/A,Magnets,Preco
3.5,4,P1110,P1110,12,Custom,,NA,3,4,#N/A,Magnets,Preco
5,8,P1111,P0024-P1111,4,Rectangle (See also P0024 ),,Square,2,2,#N/A,Magnets,Preco
2.5,6.39,P1112,P1112,8,Police SUV Car,,NA,4,2,#N/A,Magnets,Preco
1.5,5.5,P1113,P1113,18,Rectangle,,Square,6,3,https://media.magnetguys.com/diecut_proof/D__P1113__1.5-x-5.5_P1113_Square-corner.jpg,Magnets,Preco
1,3.5,P1114,P1114,45,Rectangle,,Round,9,5,#N/A,Magnets,Preco
2.85,3.44,P1115,P1115,16,Custom,,NA,4,4,#N/A,Magnets,Preco
2.5,4,P1116,P1116,12,Arrow Shape,,NA,3,4,#N/A,Magnets,Preco
10.5,3.75,P1117,P1117,4,Rectangle,,Square,2,2,#N/A,Magnets,Preco
4.16,4.17,P1118,P1118,8,Custom Logo,,NA,2,4,#N/A,Magnets,Preco
1.62,2,P1119,P1119,50,Chef Hat Shaped,,NA,5,10,#N/A,Magnets,Preco
4.3243,3.5026,P1120,P1120,12,Shield Shape,,NA,3,4,https://media.magnetguys.com/diecut_proof/D__P1120__3.5026-x-4.3243_P1120_CMD18110617_Shield-Shape.jpg,Magnets,Preco
3.5,2.63,P1121,P1121,20,Hot Air Balloon Shape,,NA,4,5,https://media.magnetguys.com/diecut_proof/D__P1121__2.63-x-3.5_P1121_CM21431_Hot-Air-Balloon-Shape.jpg,Magnets,Preco
1.87,3.75,P1122,P1122,20,Personalized Truck Shape,,NA,5,4,#N/A,Magnets,Preco
2,3.5,P1123,P1123,28,Personalized Shoe Shape,Shaped,NA,4,7,#N/A,Magnets,Preco
8,3.88,P1124,P1124,4,Ribbon Shape - Heart,Shaped,NA,2,2,#N/A,Magnets,Preco
2.75,5,P1125,P1125,9,Rectangle,,Square,3,3,https://media.magnetguys.com/diecut_proof/D__P1125__5-x-2.75_P1125_Square-corner.jpg,Magnets,Preco
1.75,4.25,P1126,P1126,20,Trash Truck Shape,,NA,5,4,#N/A,Magnets,Preco
3,5,P1127,P1127,-,Rectanlge,,Square,2,,#N/A,Magnets,Preco
6.88,5.95,P1128,P1128,4,Shield Shape,,NA,2,2,#N/A,Magnets,Preco
2,4.25,P1129,P1129,20,Rectangle,,Square,10,2,https://media.magnetguys.com/diecut_proof/D__P1129__2-x-4.25_P1129_Square-corner.jpg,Magnets,Preco
2.5,3.85,P1130,P1130,16,Rectangle,,Round,8,2,https://media.magnetguys.com/diecut_proof/D__P1130__3.85-x-2.5_P1130_Round-corner.jpg,Magnets,Preco
6.8642,4.95,P1131,P1131,4,Ribbon Shape,,NA,2,2,#N/A,Magnets,Preco
3.25,3.5,P1132,P1132,15,Tree Shape,,NA,3,5,#N/A,Magnets,Preco
5,7.5,P1133,P1133,4,Rectangle,,Square,2,2,#N/A,Magnets,Preco
3.53,3.27,P1134,P1134,15,Louisiana Shape,,NA,3,5,https://media.magnetguys.com/diecut_proof/D__P1134__3.53-x-3.27_P1134_CM217793_Louisiana-Shape.jpg,Magnets,Preco
5.135,7.9964,P1135,P1135,4,Custom,,NA,2,2,#N/A,Magnets,Preco
1.95,2.36,P1136,P1136,32,Custom,,NA,4,8,#N/A,Magnets,Preco
6.22,11,P1137,P1137,2,Football,Shaped,NA,1,2,#N/A,Magnets,Preco
6.5157,5.09,P1138,P1138,4,Custom,,NA,2,2,#N/A,Magnets,Preco
4.75,4.5,P1139,P1139,6,Rectangle,,Square,2,3,#N/A,Magnets,Preco
5.25,8.25,P1140,P1140,4,Rectangle,,Round,2,2,#N/A,Magnets,Preco
2.75,1.35,P1141,P1141,42,Van,,NA,21,2,#N/A,Magnets,Preco
2.1603,3.1643,P1142,P1142,20,Custom,,NA,4,5,#N/A,Magnets,Preco
5.5,2.5,P1143,P1143,12,Rectangle,,Square,4,3,https://media.magnetguys.com/diecut_proof/D__P1143__5.5-x-2.5_P1143_Square-corner_template.jpg,Magnets,Preco
1,5,P1144,P1144,27,Rectangle,,Square,9,3,#N/A,Magnets,Preco
5,7,P1145,P1145,4,House Shape,,NA,2,2,#N/A,Magnets,Preco
2,9,P1146,P1146,10,Rectangle,,Round,5,2,https://media.magnetguys.com/diecut_proof/D__P1146__2-x-9_P1146_Round-corner.jpg,Magnets,Preco
2.961,2.3475,P1147,P1147,20,Custom,,NA,4,5,#N/A,Magnets,Preco
5.875,7.25,P1148,P1148,3,Rectangle,,Round,1,3,#N/A,Magnets,Preco
3.75,2,P1149,P1149,20,Rectangle,,Square,10,2,https://media.magnetguys.com/diecut_proof/D__P1149__3.75-x-2_P1149_Square-corner.jpg,Magnets,Preco
8,7,P1150,P1150,2,Rectangle,,Square,1,2,#N/A,Magnets,Preco
4.8871,5.6829,P1151,P1151,6,Christmas ball,,NA,2,3,#N/A,Magnets,Preco
3.25,4.5,P1152,P1152,9,Rectangle,,Round,3,3,https://media.magnetguys.com/diecut_proof/D__P1152__3.25-x-4.5_P1152_Round-corner.jpg,Magnets,Preco
3.5,3.18,P1153,P1153,21,Africa Shape,,NA,3,7,#N/A,Magnets,Preco
2.75,4.25,P1154,P1154,12,Rectangle,,Square,6,2,https://media.magnetguys.com/diecut_proof/D__P1154__2.75-x-4.25_P1154_Square-corner.jpg,Magnets,Preco
3.5,2.5,P1155,P1155,20,Water Drop Shape,,NA,5,4,https://media.magnetguys.com/diecut_proof/D__P1155__2.5-x-3.5_P1155_CMD18112644_Water-Drop-Shape.jpg,Magnets,Preco
3.75,8.75,P1156,P1156,6,Rectangle,,Round,3,2,#N/A,Magnets,Preco
3.6714,7.5378,P1157,P1157,6,Ribbon Shape,,NA,3,2,#N/A,Magnets,Preco
5.75,5.75,P1158,P1158,3,Word Puzzle,,NA,1,3,#N/A,Magnets,Preco
1.4194,3.2871,P1159,P1159,30,Custom,,NA,6,5,#N/A,Magnets,Preco
2.34,2.56,P1160,P1160,28,Custom Fruit,,NA,4,7,https://media.magnetguys.com/diecut_proof/D__P1160__2.56-x-2.34_P1160_CMD18112735_Custom-Fruit.jpg,Magnets,Preco
3.73,7.06,P1161,P1161,6,Van Shape,,NA,3,2,#N/A,Magnets,Preco
2.75,4.75,P1162,P1162,12,Oval,Oval,NA,6,2,#N/A,Magnets,Preco
4.25,3.875,P1163,P1163,8,Rectangle,,Round,4,2,#N/A,Magnets,Preco
4.25,3.875,P1164,P1164,8,Custom Shape,,NA,4,2,#N/A,Magnets,Preco
5.4,6,P1165,P1165,6,Chat Bubble,,NA,2,3,#N/A,Magnets,Preco
5.25,7.75,P1166,P1166,4,Rectangle,,Round,2,2,#N/A,Magnets,Preco
2.6523,1.8002,P1167,P1167,30,Town Shape,,NA,5,6,#N/A,Magnets,Preco
4.34,5.33,P1168,P1168,6,Custom Shape,,NA,2,3,#N/A,Magnets,Preco
8,10,P1169,P0226-P1169,2,Rectangle ( See also P0226 ),,Square,1,2,#N/A,Magnets,Preco
4.8164,3.6492,P1170,P1170,9,P Shape,,NA,3,3,#N/A,Magnets,Preco
4.75,4.75,P1171,P1171,6,Circle,Circle,NA,2,3,#N/A,Magnets,Preco
3.7033,4.2953,P1172,P1172,12,Custom Shape,,NA,3,4,#N/A,Magnets,Preco
5,7,P1173,P0077-P1173-P1174,4,Rectangle (See also P0077 & P1174),,Round,2,2,#N/A,Magnets,Preco
5,7,P1174,P0077-P1173-P1174,4,Rectangle (See also P0077 & P1173),,Round,2,2,#N/A,Magnets,Preco
1.25,3.625,P1175,P1175,28,Custom Rectangle,,Square,14,2,#N/A,Magnets,Preco
